Document Code,Meeting Code,会议类型,Expense Code,费用类型,Issue Code,问题类型,SOP描述,标准处理方法,"向员工展示的问题描述"
EN000101,00,个人,01,月度交通费（销售/SMO/CO),01,燃油费行程问题,根据SOP规定，月度交通费报销燃油费需提供每张燃油费的使用时间区间，行程为医院的需具体到科室,请根据要求在评论区将行程补充完整,根据SOP规定，月度交通费报销燃油费需提供每张燃油费的使用时间区间，行程为医院的需具体到科室。请根据要求在评论区将行程补充完整。
EN000102,00,个人,01,月度交通费（销售/SMO/CO),02,出租车行程问题,根据SOP规定，月度交通费报销出租车费用，需注明具体的行程地点和事由，行程为医院的，应明确注明拜访医院及科室,请根据要求补充至HLY评论区,根据SOP规定，月度交通费报销出租车费用，需注明具体的行程地点和事由，行程为医院的，应明确注明拜访医院及科室。请根据要求补充至HLY评论区。
EN000103,00,个人,01,月度交通费（销售/SMO/CO),03,网约车行程问题,根据SOP规定，月度交通费报销网约车费用，行程为医院的，应明确注明拜访医院及科室，并提供事由,请根据要求补充至HLY评论区,根据SOP规定，月度交通费报销网约车费用，行程为医院的，应明确注明拜访医院及科室，并提供事由。请根据要求补充至HLY评论区。
EN000104,00,个人,01,月度交通费（销售/SMO/CO),04,单笔超500问题,根据SOP规定，单次费用超过人民币500元的长距离陆地交通需要使用指定供应商或有营运资质的网约车，并提供详细行程单,请补充提供，无法提供将不予报销,根据SOP规定，单次费用超过人民币500元的长距离陆地交通需要使用指定供应商或有营运资质的网约车，并提供详细行程单。请补充提供，无法提供将不予报销。
EN000105,00,个人,01,月度交通费（销售/SMO/CO),05,当月总额超限额,根据SOP规定，月度交通费超过标准限额，如需报销，需补充提供部门负责人的特批,请提供,根据SOP规定，月度交通费超过标准限额，如需报销，需补充提供部门负责人的特批。请提供。
EN000201,00,个人,02,交通费-市内,01,出租车行程问题,根据SOP规定，驻地内产生的出租车，公共汽车、地铁等发票，报销时需列明行程和事由,请根据要求补充至HLY评论区,根据SOP规定，驻地内产生的出租车，公共汽车、地铁等发票，报销时需列明行程和事由。请根据要求补充至HLY评论区。
EN000202,00,个人,02,交通费-市内,02,网约车行程问题,根据SOP规定，驻地内产生的网约车费用发票，报销时需要提供行程单和事由,请根据要求补充至HLY评论区,根据SOP规定，驻地内产生的网约车费用发票，报销时需要提供行程单和事由。请根据要求补充至HLY评论区。
EN000203,00,个人,02,交通费-市内,03,单笔超500问题,根据SOP规定，单次费用超过人民币500元的长距离陆地交通需要使用指定供应商或有营运资质的网约车，并提供详细行程单,请补充提供，无法提供将不予报销,根据SOP规定，单次费用超过人民币500元的长距离陆地交通需要使用指定供应商或有营运资质的网约车，并提供详细行程单。请补充提供，无法提供将不予报销。
EN000204,00,个人,02,交通费-市内,04,OT打车问题,根据SOP规定，工作到晚上19:30分后可以报销回家出租车费，您的OT打车费用不符合要求,请确认后为您扣除,根据SOP规定，工作到晚上19:30分后可以报销回家出租车费，您的OT打车费用不符合要求。请确认后为您扣除。
EN000301,00,个人,03,电话费,01,非套餐话费超标&充值发票,根据SOP规定，报销话费金额大于350元或发票为充值发票，需要提供话费明细账单；,请补充上传至HLY评论区,根据SOP规定，报销话费金额大于350元或发票为充值发票，需要提供话费明细账单；。请补充上传至HLY评论区。
EN000302,00,个人,03,电话费,02,套餐超350元,根据SOP规定，月度套餐费用超过350元的，需解释实际费用需求，并获部门负责人审批,请提供,根据SOP规定，月度套餐费用超过350元的，需解释实际费用需求，并获部门负责人审批。请提供。
EN000303,00,个人,03,电话费,03,手机号未备案,根据SOP规定，员工需要报销费用的手机号码须在公司备案登记。您的号码未备案，不予报销,请提供备案记录或我们帮您扣除该号码下的金额,根据SOP规定，员工需要报销费用的手机号码须在公司备案登记。您的号码未备案，不予报销。请提供备案记录或我们帮您扣除该号码下的金额。
EN000304,00,个人,03,电话费,04,话费发票无账期,您提供的电话费发票未显示费用账期，需补充提供话费账单明细或话费消费记录,请提供,您提供的电话费发票未显示费用账期，需补充提供话费账单明细或话费消费记录。请提供。
EN000401,00,个人,04,工作餐,01,缺水单,根据SOP规定，费用金额超过300元，需提供水单,请将水单原件邮寄至我司，并将水单照片或扫描件补充上传至评论区,根据SOP规定，费用金额超过300元，需提供水单。请将水单原件邮寄至我司，并将水单照片或扫描件补充上传至评论区。
EN000402,00,个人,04,工作餐,02,超市、商场&水果市场费用,根据SOP规定，超市、商场或水果市场购买的费用，需要提供明细,请提供,根据SOP规定，超市、商场或水果市场购买的费用，需要提供明细。请提供。
EN000403,00,个人,04,工作餐,03,系统与水单人数不一致,水单用餐人数与系统填报的用餐人数不一致,请确认实际用餐人数并解释说明,水单用餐人数与系统填报的用餐人数不一致。请确认实际用餐人数并解释说明。
EN000501,00,个人,05,办公用品,01,费用超600,根据SOP规定，费用超过600元，提供营运部负责人批准邮件,请提供,根据SOP规定，费用超过600元，提供营运部负责人批准邮件。请提供。
EN000502,00,个人,05,办公用品,02,缺少明细,根据SOP规定，报销办公用品需提供购买明细,请提供,根据SOP规定，报销办公用品需提供购买明细。请提供。
EN000601,00,个人,06,IT配件,01,费用超600,根据SOP规定，费用超过600元，提供营运部负责人批准邮件,请提供,根据SOP规定，费用超过600元，提供营运部负责人批准邮件。请提供。
EN000602,00,个人,06,IT配件,02,缺少明细,根据SOP规定，报销IT配件需提供购买产品明细,请提供,根据SOP规定，报销IT配件需提供购买产品明细。请提供。
EN000701,00,个人,07,快递/货运,01,缺少快递明细or底单,根据SOP规定，报销快递费用需提供快递明细单或底单,请提供,根据SOP规定，报销快递费用需提供快递明细单或底单。请提供。
EN000801,00,个人,08,打印/复印,01,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单。请提供。
EN000802,00,个人,08,打印/复印,02,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改。已为您系统驳回，请重新提交完成业务审批流程后@通知审核员。"
EN000803,00,个人,08,打印/复印,03,缺少明细,根据SOP规定，打印/复印费用≥300元，需提供水单明细,请提供,根据SOP规定，打印/复印费用≥300元，需提供水单明细。请提供。
EN000901,00,个人,09,外部会议/培训,01,缺少邀请函,根据SOP规定，外部培训需提供邀请函,请提供,根据SOP规定，外部培训需提供邀请函。请提供。
EN000902,00,个人,09,外部会议/培训,02,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单。请提供。
EN000903,00,个人,09,外部会议/培训,03,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改。已为您系统驳回，请重新提交完成业务审批流程后@通知审核员。"
EN001001,00,个人,10,临床杂项,01,未提供临床项目名称,根据SOP规定，临床杂项费用报销时需提供临床项目名称,请提供,根据SOP规定，临床杂项费用报销时需提供临床项目名称。请提供。
EN001002,00,个人,10,临床杂项,02,缺水单,根据SOP规定，临床杂项费用报销时需提供水单,请将水单原件邮寄至我司，并将水单照片或扫描件补充上传至评论区,根据SOP规定，临床杂项费用报销时需提供水单。请将水单原件邮寄至我司，并将水单照片或扫描件补充上传至评论区。
EN001003,00,个人,10,临床杂项,03,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单。请提供。
EN001004,00,个人,10,临床杂项,04,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改。已为您系统驳回，请重新提交完成业务审批流程后@通知审核员。"
EN001101,00,个人,11,杂项开支,01,缺水单,根据SOP规定，杂项开支费用报销时需提供水单,请将水单原件邮寄至我司，并将水单照片或扫描件补充上传至评论区,根据SOP规定，杂项开支费用报销时需提供水单。请将水单原件邮寄至我司，并将水单照片或扫描件补充上传至评论区。
EN001102,00,个人,11,杂项开支,02,缺事由说明,根据SOP规定，杂项开支费用报销时需提供事由说明,请在评论区补充,根据SOP规定，杂项开支费用报销时需提供事由说明。请在评论区补充。
EN001103,00,个人,11,杂项开支,03,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单。请提供。
EN001104,00,个人,11,杂项开支,04,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改。已为您系统驳回，请重新提交完成业务审批流程后@通知审核员。"
EN001201,00,个人,12,机票,01,缺行程单or发票及订单,根据SOP规定，报销机票费用需提供机票行程单或发票及订单,请根据要求补充提供，如无法提供请提供财务总监特批,根据SOP规定，报销机票费用需提供机票行程单或发票及订单。请根据要求补充提供，如无法提供请提供财务总监特批。
EN001202,00,个人,12,机票,02,缺携程订单or比价单or特批,"根据SOP规定，机票费用如是通过携程商旅上预订的，需提供携程订单；未在携程上预订，需要提供当时低
于携程订购价、会议邀请等支持性文件或财务总监审批邮件；",请根据要求补充提供,"根据SOP规定，机票费用如是通过携程商旅上预订的，需提供携程订单；未在携程上预订，需要提供当时低
于携程订购价、会议邀请等支持性文件或财务总监审批邮件；。请根据要求补充提供。"
EN001301,00,个人,13,火车,01,火车费用类型错,火车发票系统费用类型应选择“火车”，非“交通费出差”等其他费用类型，需系统驳回修改,已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,火车发票系统费用类型应选择“火车”，非“交通费出差”等其他费用类型，需系统驳回修改。已为您系统驳回，请重新提交完成业务审批流程后@通知审核员。
EN001401,00,个人,14,住宿费,01,缺发票or入住账单,根据SOP规定，报销住宿费用需提供发票和酒店入住账单,请根据要求补充提供,根据SOP规定，报销住宿费用需提供发票和酒店入住账单。请根据要求补充提供。
EN001402,00,个人,14,住宿费,02,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单。请提供。
EN001403,00,个人,14,住宿费,03,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改。已为您系统驳回，请重新提交完成业务审批流程后@通知审核员。"
EN001404,00,个人,14,住宿费,04,缺携程订单or比价单or特批,"根据SOP规定，住宿如是通过携程商旅上预订的，需提供携程订单；未在携程上预订，需要提供当时低
于携程订购价、会议邀请等支持性文件或财务总监审批邮件；",请提供,"根据SOP规定，住宿如是通过携程商旅上预订的，需提供携程订单；未在携程上预订，需要提供当时低
于携程订购价、会议邀请等支持性文件或财务总监审批邮件；。请提供。"
EN001501,00,个人,15,交通费-出差,01,缺发票or行程,根据SOP规定，交通费-出差需提供当日当地的发票（长途汽车、出租车，公共汽车、地铁等），并提供行程,请提供,根据SOP规定，交通费-出差需提供当日当地的发票（长途汽车、出租车，公共汽车、地铁等），并提供行程。请提供。
EN001502,00,个人,15,交通费-出差,02,缺少行程单,根据SOP规定，交通费-出差报销网约车费用，需提供行程单,请补充上传至HLY评论区,根据SOP规定，交通费-出差报销网约车费用，需提供行程单。请补充上传至HLY评论区。
EN001503,00,个人,15,交通费-出差,03,单笔超500问题,根据SOP规定，单次费用超过人民币500元的长距离陆地交通需要使用指定供应商或有营运资质的网约车，并提供详细行程单,请补充提供，无法提供将不予报销,根据SOP规定，单次费用超过人民币500元的长距离陆地交通需要使用指定供应商或有营运资质的网约车，并提供详细行程单。请补充提供，无法提供将不予报销。
EN001601,00,个人,16,个人汽车里程,01,个人差旅包含HCP费用,个人汽车里程属于个人日常和差旅的费用，系统事由说明与费用定义不一致，不符合个人差旅费用要求,将为您单笔驳回此费用，请根据要求报销,个人汽车里程属于个人日常和差旅的费用，系统事由说明与费用定义不一致，不符合个人差旅费用要求。将为您单笔驳回此费用，请根据要求报销。
EN001602,00,个人,16,个人汽车里程,02,驻地内个人汽车里程,个人汽车里程的行程显示为驻地内，驻地内因业务产生的燃油费应报销在“月度交通费”，如已报满限额，可选择“交通费-市内”，并提供部门负责人的审批,将为您单笔驳回此费用，请根据要求报销,个人汽车里程的行程显示为驻地内，驻地内因业务产生的燃油费应报销在“月度交通费”，如已报满限额，可选择“交通费-市内”，并提供部门负责人的审批。将为您单笔驳回此费用，请根据要求报销。
EN001701,00,个人,17,差旅餐费,01,差旅餐费发票日期问题,差旅餐费需要提供出差当地当日的发票，您提供的发票发票日期与系统填报的实际费用日期不一致,请确认实际费用发生日期，提供正确的发票或小票、付款记录等费用时间证明材料,差旅餐费需要提供出差当地当日的发票，您提供的发票发票日期与系统填报的实际费用日期不一致。请确认实际费用发生日期，提供正确的发票或小票、付款记录等费用时间证明材料。
EN001702,00,个人,17,差旅餐费,02,差旅餐费超标,差旅餐费限额200元/天/人，您当日已报销一笔用餐费用，差旅餐费限额100元，需扣除差额费用,请确认后为您扣除差额费用,差旅餐费限额200元/天/人，您当日已报销一笔用餐费用，差旅餐费限额100元，需扣除差额费用。请确认后为您扣除差额费用。
EN001703,00,个人,17,差旅餐费,03,差旅餐费超标,差旅餐费限额200元/天/人，您当日已报销两笔用餐费用，差旅餐费限额0元，需扣除差额费用,请确认后为您扣除差额费用,差旅餐费限额200元/天/人，您当日已报销两笔用餐费用，差旅餐费限额0元，需扣除差额费用。请确认后为您扣除差额费用。
EN001801,00,个人,18,其他差旅费用,01,费用类型错误,根据SOP规定，过路费、退票费等费用需报销在“其他差旅费用”中,已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,根据SOP规定，过路费、退票费等费用需报销在“其他差旅费用”中。已为您系统驳回，请重新提交完成业务审批流程后@通知审核员。
EN001901,00,个人,19,团队建设,01,缺水单明细（超300）,根据SOP规定，该费用≥300元，需提供水单明细,请提供,根据SOP规定，该费用≥300元，需提供水单明细。请提供。
EN001902,00,个人,19,团队建设,02,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单。请提供。
EN001903,00,个人,19,团队建设,03,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改。已为您系统驳回，请重新提交完成业务审批流程后@通知审核员。"
EN001904,00,个人,19,团队建设,04,缺少明细（商超）,根据SOP规定，超市、商场或水果市场购买的费用，需要提供明细,请提供,根据SOP规定，超市、商场或水果市场购买的费用，需要提供明细。请提供。
EN002001,00,个人,20,内部会议/活动,01,缺水单明细（超300）,根据SOP规定，费用≥300元，需提供水单明细,请提供,根据SOP规定，费用≥300元，需提供水单明细。请提供。
EN002002,00,个人,20,内部会议/活动,02,缺少明细（商超）,根据SOP规定，超市、商场或水果市场购买的费用，需要提供明细,请提供,根据SOP规定，超市、商场或水果市场购买的费用，需要提供明细。请提供。
EN002003,00,个人,20,内部会议/活动,03,缺会议议程,根据SOP规定，报销内部活动/会议费用需提供会议议程（包括时间、地点、主题等）,请提供符合要求的会议议程,根据SOP规定，报销内部活动/会议费用需提供会议议程（包括时间、地点、主题等）。请提供符合要求的会议议程。
EN002004,00,个人,20,内部会议/活动,04,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单。请提供。
EN002005,00,个人,20,内部会议/活动,05,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改。已为您系统驳回，请重新提交完成业务审批流程后@通知审核员。"
EN002006,00,个人,20,内部会议/活动,06,参会人问题,根据SOP规定，内部活动/会议参与人仅有公司内部员工，您系统填报的参与人不符合要求,请确认,根据SOP规定，内部活动/会议参与人仅有公司内部员工，您系统填报的参与人不符合要求。请确认。
EN002101,00,个人,21,内部会议-礼品/奖品,01,缺水单明细（超300）,根据SOP规定，该费用≥300元，需提供水单明细,请将水单原件邮寄至我司，并将水单照片或扫描件补充上传至评论区,根据SOP规定，该费用≥300元，需提供水单明细。请将水单原件邮寄至我司，并将水单照片或扫描件补充上传至评论区。
