Document Code,Meeting Code,会议类型,Expense Code,费用类型,Issue Code,问题类型,SOP描述,标准处理方法,"向员工展示的问题描述"
EN002102,00,个人,21,内部会议-礼品/奖品,02,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单。请提供。
EN002103,00,个人,21,内部会议-礼品/奖品,03,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改。已为您系统驳回，请重新提交完成业务审批流程后@通知审核员。"
EN002104,00,个人,21,内部会议-礼品/奖品,04,缺签收单,根据SOP规定，报销礼品/奖品需提供签收单（包含姓名、品名、单价、数量、总额、签收人签字）,请提供,根据SOP规定，报销礼品/奖品需提供签收单（包含姓名、品名、单价、数量、总额、签收人签字）。请提供。
EN002105,00,个人,21,内部会议-礼品/奖品,05,礼品类别问题,根据SOP规定，礼品或奖品不得包括礼品卡、购物卡等，此笔费用不符合要求，不予报销,请确认后为您扣除此笔费用,根据SOP规定，礼品或奖品不得包括礼品卡、购物卡等，此笔费用不符合要求，不予报销。请确认后为您扣除此笔费用。
EN002106,00,个人,21,内部会议-礼品/奖品,06,礼品金额超标,根据SOP规定，报销礼品/奖品超过该类型下的标准限额，不予报销,请确认后为您扣除此笔费用,根据SOP规定，报销礼品/奖品超过该类型下的标准限额，不予报销。请确认后为您扣除此笔费用。
EN002201,00,个人,22,早餐,01,缺水单明细（超300）,根据SOP规定，该费用≥300元，需提供水单明细,请将水单原件邮寄至我司，并将水单照片或扫描件补充上传至评论区,根据SOP规定，该费用≥300元，需提供水单明细。请将水单原件邮寄至我司，并将水单照片或扫描件补充上传至评论区。
EN002202,00,个人,22,早餐,02,缺少明细（商超）,根据SOP规定，超市、商场或水果市场购买的费用，需要提供明细,请提供,根据SOP规定，超市、商场或水果市场购买的费用，需要提供明细。请提供。
EN002203,00,个人,22,早餐,03,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单。请提供。
EN002204,00,个人,22,早餐,04,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改。已为您系统驳回，请重新提交完成业务审批流程后@通知审核员。"
EN002205,00,个人,22,早餐,05,超人均300元（客户/供应商）,"根据SOP规定，员工为招待第三方客户或供应商支付的餐费，不应超过人均 300 元。如有超过上述标准的特殊情
况，需获得部门负责人的审批。",请提供,"根据SOP规定，员工为招待第三方客户或供应商支付的餐费，不应超过人均 300 元。如有超过上述标准的特殊情
况，需获得部门负责人的审批。。请提供。"
EN002206,00,个人,22,早餐,06,超人均300元（HCP/政府官员）,"根据SOP规定，员工为招待HCP或政府官员支付的餐费，不应超过人均 300 元。如有超过上述标准的特殊情
况，需获得部门负责人和合规部负责人的共同审批。",请提供,"根据SOP规定，员工为招待HCP或政府官员支付的餐费，不应超过人均 300 元。如有超过上述标准的特殊情
况，需获得部门负责人和合规部负责人的共同审批。。请提供。"
EN002207,00,个人,22,早餐,07,业务招待无内部员工,根据SOP规定，业务招待的参与人需有（内部）+（外部），您的业务招待不符合要求，不予报销,请确认后为您扣除该笔费用,根据SOP规定，业务招待的参与人需有（内部）+（外部），您的业务招待不符合要求，不予报销。请确认后为您扣除该笔费用。
EN002301,00,个人,23,午餐,01,缺水单明细（超300）,根据SOP规定，该费用≥300元，需提供水单明细,请将水单原件邮寄至我司，并将水单照片或扫描件补充上传至评论区,根据SOP规定，该费用≥300元，需提供水单明细。请将水单原件邮寄至我司，并将水单照片或扫描件补充上传至评论区。
EN002302,00,个人,23,午餐,02,缺少明细（商超）,根据SOP规定，超市、商场或水果市场购买的费用，需要提供明细,请提供,根据SOP规定，超市、商场或水果市场购买的费用，需要提供明细。请提供。
EN002303,00,个人,23,午餐,03,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单。请提供。
EN002304,00,个人,23,午餐,04,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改。已为您系统驳回，请重新提交完成业务审批流程后@通知审核员。"
EN002305,00,个人,23,午餐,05,超人均300元（客户/供应商）,"根据SOP规定，员工为招待第三方客户或供应商支付的餐费，不应超过人均 300 元。如有超过上述标准的特殊情
况，需获得部门负责人的审批。",请提供,"根据SOP规定，员工为招待第三方客户或供应商支付的餐费，不应超过人均 300 元。如有超过上述标准的特殊情
况，需获得部门负责人的审批。。请提供。"
EN002306,00,个人,23,午餐,06,超人均300元（HCP/政府官员）,"根据SOP规定，员工为招待HCP或政府官员支付的餐费，不应超过人均 300 元。如有超过上述标准的特殊情
况，需获得部门负责人和合规部负责人的共同审批。",请提供,"根据SOP规定，员工为招待HCP或政府官员支付的餐费，不应超过人均 300 元。如有超过上述标准的特殊情
况，需获得部门负责人和合规部负责人的共同审批。。请提供。"
EN002307,00,个人,23,午餐,07,业务招待无内部员工,根据SOP规定，业务招待的参与人需有（内部）+（外部），您的业务招待不符合要求，不予报销,请确认后为您扣除该笔费用,根据SOP规定，业务招待的参与人需有（内部）+（外部），您的业务招待不符合要求，不予报销。请确认后为您扣除该笔费用。
EN002401,00,个人,24,晚餐,01,缺水单明细（超300）,根据SOP规定，该费用≥300元，需提供水单明细,请将水单原件邮寄至我司，并将水单照片或扫描件补充上传至评论区,根据SOP规定，该费用≥300元，需提供水单明细。请将水单原件邮寄至我司，并将水单照片或扫描件补充上传至评论区。
EN002402,00,个人,24,晚餐,02,缺少明细（商超）,根据SOP规定，超市、商场或水果市场购买的费用，需要提供明细,请提供,根据SOP规定，超市、商场或水果市场购买的费用，需要提供明细。请提供。
EN002403,00,个人,24,晚餐,03,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单。请提供。
EN002404,00,个人,24,晚餐,04,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改。已为您系统驳回，请重新提交完成业务审批流程后@通知审核员。"
EN002405,00,个人,24,晚餐,05,超人均300元（客户/供应商）,"根据SOP规定，员工为招待第三方客户或供应商支付的餐费，不应超过人均 300 元。如有超过上述标准的特殊情
况，需获得部门负责人的审批。",请提供,"根据SOP规定，员工为招待第三方客户或供应商支付的餐费，不应超过人均 300 元。如有超过上述标准的特殊情
况，需获得部门负责人的审批。。请提供。"
EN002406,00,个人,24,晚餐,06,超人均300元（HCP/政府官员）,"根据SOP规定，员工为招待HCP或政府官员支付的餐费，不应超过人均 300 元。如有超过上述标准的特殊情
况，需获得部门负责人和合规部负责人的共同审批。",请提供,"根据SOP规定，员工为招待HCP或政府官员支付的餐费，不应超过人均 300 元。如有超过上述标准的特殊情
况，需获得部门负责人和合规部负责人的共同审批。。请提供。"
EN002407,00,个人,24,晚餐,07,业务招待无内部员工,根据SOP规定，业务招待的参与人需有（内部）+（外部），您的业务招待不符合要求，不予报销,请确认后为您扣除该笔费用,根据SOP规定，业务招待的参与人需有（内部）+（外部），您的业务招待不符合要求，不予报销。请确认后为您扣除该笔费用。
EN002501,00,个人,25,夜宵,01,缺水单明细（超300）,根据SOP规定，该费用≥300元，需提供水单明细,请将水单原件邮寄至我司，并将水单照片或扫描件补充上传至评论区,根据SOP规定，该费用≥300元，需提供水单明细。请将水单原件邮寄至我司，并将水单照片或扫描件补充上传至评论区。
EN002502,00,个人,25,夜宵,02,缺少明细（商超）,根据SOP规定，超市、商场或水果市场购买的费用，需要提供明细,请提供,根据SOP规定，超市、商场或水果市场购买的费用，需要提供明细。请提供。
EN002503,00,个人,25,夜宵,03,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单。请提供。
EN002504,00,个人,25,夜宵,04,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改。已为您系统驳回，请重新提交完成业务审批流程后@通知审核员。"
EN002505,00,个人,25,夜宵,05,超人均300元（客户/供应商）,"根据SOP规定，员工为招待第三方客户或供应商支付的餐费，不应超过人均 300 元。如有超过上述标准的特殊情
况，需获得部门负责人的审批。",请提供,"根据SOP规定，员工为招待第三方客户或供应商支付的餐费，不应超过人均 300 元。如有超过上述标准的特殊情
况，需获得部门负责人的审批。。请提供。"
EN002506,00,个人,25,夜宵,06,超人均300元（HCP/政府官员）,"根据SOP规定，员工为招待HCP或政府官员支付的餐费，不应超过人均 300 元。如有超过上述标准的特殊情
况，需获得部门负责人和合规部负责人的共同审批。",请提供,"根据SOP规定，员工为招待HCP或政府官员支付的餐费，不应超过人均 300 元。如有超过上述标准的特殊情
况，需获得部门负责人和合规部负责人的共同审批。。请提供。"
EN002507,00,个人,25,夜宵,07,业务招待无内部员工,根据SOP规定，业务招待的参与人需有（内部）+（外部），您的业务招待不符合要求，不予报销,请确认后为您扣除该笔费用,根据SOP规定，业务招待的参与人需有（内部）+（外部），您的业务招待不符合要求，不予报销。请确认后为您扣除该笔费用。
EN002601,00,个人,26,下午茶,01,缺水单明细（超300）,根据SOP规定，该费用≥300元，需提供水单明细,请将水单原件邮寄至我司，并将水单照片或扫描件补充上传至评论区,根据SOP规定，该费用≥300元，需提供水单明细。请将水单原件邮寄至我司，并将水单照片或扫描件补充上传至评论区。
EN002602,00,个人,26,下午茶,02,缺少明细（商超）,根据SOP规定，超市、商场或水果市场购买的费用，需要提供明细,请提供,根据SOP规定，超市、商场或水果市场购买的费用，需要提供明细。请提供。
EN002603,00,个人,26,下午茶,03,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单。请提供。
EN002604,00,个人,26,下午茶,04,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改。已为您系统驳回，请重新提交完成业务审批流程后@通知审核员。"
EN002605,00,个人,26,下午茶,05,超人均300元（客户/供应商）,"根据SOP规定，员工为招待第三方客户或供应商支付的餐费，不应超过人均 300 元。如有超过上述标准的特殊情
况，需获得部门负责人的审批。",请提供,"根据SOP规定，员工为招待第三方客户或供应商支付的餐费，不应超过人均 300 元。如有超过上述标准的特殊情
况，需获得部门负责人的审批。。请提供。"
EN002606,00,个人,26,下午茶,06,超人均300元（HCP/政府官员）,"根据SOP规定，员工为招待HCP或政府官员支付的餐费，不应超过人均 300 元。如有超过上述标准的特殊情
况，需获得部门负责人和合规部负责人的共同审批。",请提供,"根据SOP规定，员工为招待HCP或政府官员支付的餐费，不应超过人均 300 元。如有超过上述标准的特殊情
况，需获得部门负责人和合规部负责人的共同审批。。请提供。"
EN002607,00,个人,26,下午茶,07,业务招待无内部员工,根据SOP规定，业务招待的参与人需有（内部）+（外部），您的业务招待不符合要求，不予报销,请确认后为您扣除该笔费用,根据SOP规定，业务招待的参与人需有（内部）+（外部），您的业务招待不符合要求，不予报销。请确认后为您扣除该笔费用。
EN002701,00,个人,27,业务招待-礼品,01,缺水单明细（超300）,根据SOP规定，该费用≥300元，需提供水单明细,请将水单原件邮寄至我司，并将水单照片或扫描件补充上传至评论区,根据SOP规定，该费用≥300元，需提供水单明细。请将水单原件邮寄至我司，并将水单照片或扫描件补充上传至评论区。
EN002702,00,个人,27,业务招待-礼品,02,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单。请提供。
EN002703,00,个人,27,业务招待-礼品,03,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改。已为您系统驳回，请重新提交完成业务审批流程后@通知审核员。"
EN002704,00,个人,27,业务招待-礼品,04,缺签收单,根据SOP规定，报销礼品/奖品需提供签收单（包含姓名、品名、单价、数量、总额、签收人签字）,请提供,根据SOP规定，报销礼品/奖品需提供签收单（包含姓名、品名、单价、数量、总额、签收人签字）。请提供。
EN002705,00,个人,27,业务招待-礼品,05,礼品类别问题,根据SOP规定，礼品或奖品不得包括礼品卡、购物卡等，此笔费用不符合要求，不予报销,请提供,根据SOP规定，礼品或奖品不得包括礼品卡、购物卡等，此笔费用不符合要求，不予报销。请提供。
EN002706,00,个人,27,业务招待-礼品,06,缺审批,根据SOP规定，礼品或奖品需提供部门负责人批准邮件,请提供,根据SOP规定，礼品或奖品需提供部门负责人批准邮件。请提供。
EN002801,00,个人,28,员工工作手机购机款,01,手机款超标,根据SOP规定，手机购机款报销上限金额为5000元,请确认后为您扣除差额费用,根据SOP规定，手机购机款报销上限金额为5000元。请确认后为您扣除差额费用。
EN002802,00,个人,28,员工工作手机购机款,02,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单。请提供。
EN002803,00,个人,28,员工工作手机购机款,03,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改。已为您系统驳回，请重新提交完成业务审批流程后@通知审核员。"
EN002804,00,个人,28,员工工作手机购机款,04,缺申购单,根据SOP规定，报销购机款系统提供申购单,请提供,根据SOP规定，报销购机款系统提供申购单。请提供。
EN002805,00,个人,28,员工工作手机购机款,05,购买时间早于申购单,根据SOP规定，购买手机的时间不得早于申购单的审批时间，此笔费用不符合要求，不予报销,请确认后为您扣除该笔费用,根据SOP规定，购买手机的时间不得早于申购单的审批时间，此笔费用不符合要求，不予报销。请确认后为您扣除该笔费用。
EN002901,00,个人,29,小型医学沟通会餐费,01,缺水单明细（超300）,根据SOP规定，该费用≥300元，需提供水单明细,请提供,根据SOP规定，该费用≥300元，需提供水单明细。请提供。
EN002902,00,个人,29,小型医学沟通会餐费,02,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单。请提供。
EN002903,00,个人,29,小型医学沟通会餐费,03,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改。已为您系统驳回，请重新提交完成业务审批流程后@通知审核员。"
EN002904,00,个人,29,小型医学沟通会餐费,04,缺会议议程,根据SOP规定，报销小沟会需提供会议议程（包括时间、地点、主题等）,请提供,根据SOP规定，报销小沟会需提供会议议程（包括时间、地点、主题等）。请提供。
EN002905,00,个人,29,小型医学沟通会餐费,05,超人均150元,根据SOP规定，小沟会会议餐费人均不可超过150元，如需全额报销，需提供部门负责人和合规部负责人的共同审批,请提供特批邮件或我们帮您扣除超额部分,根据SOP规定，小沟会会议餐费人均不可超过150元，如需全额报销，需提供部门负责人和合规部负责人的共同审批。请提供特批邮件或我们帮您扣除超额部分。
EN002906,00,个人,29,小型医学沟通会餐费,06,外部参会人超标,根据SOP规定，小沟会外部参会者不得超过3人,请确认,根据SOP规定，小沟会外部参会者不得超过3人。请确认。
EN002907,00,个人,29,小型医学沟通会餐费,07,缺餐厅门头照,根据SOP规定，报销会议餐费需提供餐厅门头照,请提供,根据SOP规定，报销会议餐费需提供餐厅门头照。请提供。
EN002908,00,个人,29,小型医学沟通会餐费,08,会议餐费形式,根据SOP规定，小沟会会议餐费应为午餐会或晚餐会形式，您报销的餐费内部不符合要求,请解释说明,根据SOP规定，小沟会会议餐费应为午餐会或晚餐会形式，您报销的餐费内部不符合要求。请解释说明。
EN003001,00,个人,30,培训费,01,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单。请提供。
EN003002,00,个人,30,培训费,02,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改。已为您系统驳回，请重新提交完成业务审批流程后@通知审核员。"