Document Code,Meeting Code,会议类型,Expense Code,费用类型,Issue Code,问题类型,SOP描述,标准处理方法,"向员工展示的问题描述（合并问题描述和处理方法）"
MN020012,02,患者教育,00,会议整体,12,会议议程_不一致,会议议程内容与系统填报的实际会议情况不一致,请确认并提供更新的会议议程,会议议程内容与系统填报的实际会议情况不一致。请确认并提供更新的会议议程。
MN020013,02,患者教育,00,会议整体,13,会议议程_不完整,会议议程需包含会议日期、会议开展时间、会议地点、会议内容、演讲主题和演讲人,请补充提供,会议议程需包含会议日期、会议开展时间、会议地点、会议内容、演讲主题和演讲人。请补充提供。
MN020014,02,患者教育,00,会议整体,14,会议议程_时长不足,根据SOP规定，患者教育HCP讲课时长需≥20分钟,请确认,根据SOP规定，患者教育HCP讲课时长需≥20分钟。请确认。
MN020021,02,患者教育,00,会议整体,21,会议地点_不得跨区,根据SOP规定，原则上若全部参会人来自同一城市，学术活动地点不应跨行政区域，特殊情况需得到上级直属领导事前审批,请提供,根据SOP规定，原则上若全部参会人来自同一城市，学术活动地点不应跨行政区域，特殊情况需得到上级直属领导事前审批。请提供。
MN020022,02,患者教育,00,会议整体,22,会议地点_禁止景区,根据SOP规定，禁止在景区名胜或铺张奢侈的地点举办或参加会议,不符合要求不予报销,根据SOP规定，禁止在景区名胜或铺张奢侈的地点举办或参加会议。不符合要求不予报销。
MN020023,02,患者教育,00,会议整体,23,会议地点_禁止场所,根据SOP规定，禁止在水疗会所、温泉、度假、滑雪、高尔夫、赌博、邮轮、洗浴中心、KTV娱乐及以以上为主业的场所举办学术活动或进行业务招待活动,不符合要求不予报销,根据SOP规定，禁止在水疗会所、温泉、度假、滑雪、高尔夫、赌博、邮轮、洗浴中心、KTV娱乐及以以上为主业的场所举办学术活动或进行业务招待活动。不符合要求不予报销。
MN020031,02,患者教育,00,会议整体,31,会议签到_系统人数不一致,系统实际内外部参会人数与签到表不一致,请确认实际内外部参会人数，并解释说明,系统实际内外部参会人数与签到表不一致。请确认实际内外部参会人数，并解释说明。
MN020032,02,患者教育,00,会议整体,32,会议签到_整场未电子签到,根据SOP规定，整场会议未使用电子签到单需提供逐级审批至部门负责人的审批邮件,请提供,根据SOP规定，整场会议未使用电子签到单需提供逐级审批至部门负责人的审批邮件。请提供。
MN020033,02,患者教育,00,会议整体,33,会议签到_缺线下签到原件,根据SOP规定，线下签到单原件需邮寄至我司,请将原件邮寄至我司，邮寄后提供快递单号,根据SOP规定，线下签到单原件需邮寄至我司。请将原件邮寄至我司，邮寄后提供快递单号。
MN020034,02,患者教育,00,会议整体,34,会议签到_线下签到缺审批,根据SOP规定，线下签到表下方的“负责与会医疗专业人士的内部员工签字（确认以上签字及备注属实）”和“直线经理签字（确认以上签字及代表说明复核公司要求）”需相应负责人签字,将为您寄回线下签到表，请补充签字后原件寄回我司,根据SOP规定，线下签到表下方的“负责与会医疗专业人士的内部员工签字（确认以上签字及备注属实）”和“直线经理签字（确认以上签字及代表说明复核公司要求）”需相应负责人签字。将为您寄回线下签到表，请补充签字后原件寄回我司。
MN020041,02,患者教育,00,会议整体,41,会议照片_缺照片水印,根据SOP规定，线下患教会议照片需使用水印相机拍摄活动现场照片，并注明活动时间、活动地点、活动主题,请补充提供，如不符合要求将不予报销,根据SOP规定，线下患教会议照片需使用水印相机拍摄活动现场照片，并注明活动时间、活动地点、活动主题。请补充提供，如不符合要求将不予报销。
MN020042,02,患者教育,00,会议整体,42,会议照片_缺会议主题,根据SOP规定，会议照片需体现并反映会议主题（如PPT标题、横幅、易拉宝等），且照片中的会议主题需清洗,请补充提供，如不符合要求将不予报销,根据SOP规定，会议照片需体现并反映会议主题（如PPT标题、横幅、易拉宝等），且照片中的会议主题需清洗。请补充提供，如不符合要求将不予报销。
MN020043,02,患者教育,00,会议整体,43,会议照片_缺付费讲者,根据SOP规定，付费讲者需提供正面清晰演讲照片，照片应体现付费讲者和一张会议幻灯稿同框的场景，要求可识别付费讲者并能体现所参加会议,请补充提供，如不符合要求将不予报销,根据SOP规定，付费讲者需提供正面清晰演讲照片，照片应体现付费讲者和一张会议幻灯稿同框的场景，要求可识别付费讲者并能体现所参加会议。请补充提供，如不符合要求将不予报销。
MN020044,02,患者教育,00,会议整体,44,会议照片_水印与议程不一致,根据SOP规定，会议照片水印所反映拍摄时间与会议议程相一致,请补充提供，如不符合要求将不予报销,根据SOP规定，会议照片水印所反映拍摄时间与会议议程相一致。请补充提供，如不符合要求将不予报销。
MN020045,02,患者教育,00,会议整体,45,会议照片_线下会议人数标准不符,根据SOP规定，线下患者教育会议照片需显示50%参会人员（内+外）,请补充提供，如不符合要求将不予报销,根据SOP规定，线下患者教育会议照片需显示50%参会人员（内+外）。请补充提供，如不符合要求将不予报销。
MN020046,02,患者教育,00,会议整体,46,会议照片_缺线上会议截图,根据SOP规定，线上患者教育会议照片需显示课件名称及讲者画面,请补充提供，如不符合要求将不予报销,根据SOP规定，线上患者教育会议照片需显示课件名称及讲者画面。请补充提供，如不符合要求将不予报销。
MN020051,02,患者教育,00,会议整体,51,会议人数_内部人数不符,根据SOP规定，患者教育内部参会者需≥1人（包含会议组织者）,请确认实际内部参会人数,根据SOP规定，患者教育内部参会者需≥1人（包含会议组织者）。请确认实际内部参会人数。
MN020052,02,患者教育,00,会议整体,52,会议人数_外部人数不符,根据SOP规定，患者教育外部参会者需≥5人,请确认实际外部参会人数,根据SOP规定，患者教育外部参会者需≥5人。请确认实际外部参会人数。
MN020061,02,患者教育,00,会议整体,61,报销范围_时效,根据SOP规定，原则上公司仅承担学术活动会议议程前后24小时内所产生的相关费用，例外事项需提供部门负责人及合规审计总监的共同批准,如需报销请提供特批,根据SOP规定，原则上公司仅承担学术活动会议议程前后24小时内所产生的相关费用，例外事项需提供部门负责人及合规审计总监的共同批准。如需报销请提供特批。
MN020062,02,患者教育,00,会议整体,62,报销范围_费用,根据SOP规定，患者教育可报销费用有讲课费、餐饮、交通,额外费用不予报销已为您扣除,根据SOP规定，患者教育可报销费用有讲课费、餐饮、交通。额外费用不予报销已为您扣除。
MN020101,02,患者教育,01,会议讲课费,01,非讲者库讲者,根据SOP规定，报销讲课费的讲者必须是讲者库中的讲者，且不能在会议结束后特批补入库,不符合要求不予支付讲课费,根据SOP规定，报销讲课费的讲者必须是讲者库中的讲者，且不能在会议结束后特批补入库。不符合要求不予支付讲课费。
MN020102,02,患者教育,01,会议讲课费,02,业务约定书不完整,根据SOP规定，业务约定书需完整正确的填写，并由HCP签字后将完整原件邮寄至我司,请提供,根据SOP规定，业务约定书需完整正确的填写，并由HCP签字后将完整原件邮寄至我司。请提供。
MN020103,02,患者教育,01,会议讲课费,03,讲者人数超标,根据SOP规定，支付讲课费的人数不应超过外部参会总人数的20%,请确认，并告知需扣除讲课费的HCP姓名,根据SOP规定，支付讲课费的人数不应超过外部参会总人数的20%。请确认，并告知需扣除讲课费的HCP姓名。
MN020104,02,患者教育,01,会议讲课费,04,讲者未全程参会,根据SOP规定，支付讲课费的专家需全程参会，并签到,请补充提供签到，不符合要求不予支付讲课费,根据SOP规定，支付讲课费的专家需全程参会，并签到。请补充提供签到，不符合要求不予支付讲课费。
MN020105,02,患者教育,01,会议讲课费,05,演讲时长不达标,根据SOP规定，患者教育HCP讲课时长需≥20分钟,不符合要求不予支付讲课费,根据SOP规定，患者教育HCP讲课时长需≥20分钟。不符合要求不予支付讲课费。
MN020106,02,患者教育,01,会议讲课费,06,线上患者听课时长,根据SOP规定，线上患者教育患者累计听课时长需≥10分钟,不符合要求不予支付讲课费,根据SOP规定，线上患者教育患者累计听课时长需≥10分钟。不符合要求不予支付讲课费。
MN020107,02,患者教育,01,会议讲课费,07,线下患者听课时长,根据SOP规定，线下患者教育患者需全程参加,不符合要求不予支付讲课费,根据SOP规定，线下患者教育患者需全程参加。不符合要求不予支付讲课费。
MN020108,02,患者教育,01,会议讲课费,08,混合患教听课时长,根据SOP规定，混合患者教育线上患者的累计听课时长需≥10分钟，线下患者需全程参加。,不符合要求不予支付讲课费,根据SOP规定，混合患者教育线上患者的累计听课时长需≥10分钟，线下患者需全程参加。。不符合要求不予支付讲课费。
MN020109,02,患者教育,01,会议讲课费,09,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单。请提供。
MN020110,02,患者教育,01,会议讲课费,10,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改。已为您系统驳回，请重新提交完成业务审批流程后@通知审核员。"
MN020201,02,患者教育,02,会议餐费,01,缺餐厅门头照,根据SOP规定，会议餐费需提供餐厅门头照,请提供,根据SOP规定，会议餐费需提供餐厅门头照。请提供。
MN020202,02,患者教育,02,会议餐费,02,餐费与会议时间不相连,根据SOP规定，会议餐费用餐时间应与会议时间相连，且与正常午餐或晚餐时间相近,请解释说明,根据SOP规定，会议餐费用餐时间应与会议时间相连，且与正常午餐或晚餐时间相近。请解释说明。
MN020203,02,患者教育,02,会议餐费,03,会议餐费超人均,根据SOP规定，会议餐费，不应超过人均 300 元。如有超过上述标准的特殊情况，需获得部门负责人的审批,请提供,根据SOP规定，会议餐费，不应超过人均 300 元。如有超过上述标准的特殊情况，需获得部门负责人的审批。请提供。
MN020204,02,患者教育,02,会议餐费,04,缺少水单,根据SOP规定，会议餐费≥300元，需提供水单明细,请将水单原件邮寄至我司，并将水单照片或扫描件补充上传至评论区,根据SOP规定，会议餐费≥300元，需提供水单明细。请将水单原件邮寄至我司，并将水单照片或扫描件补充上传至评论区。
MN020205,02,患者教育,02,会议餐费,05,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单。请提供。
MN020206,02,患者教育,02,会议餐费,06,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改。已为您系统驳回，请重新提交完成业务审批流程后@通知审核员。"
MN020601,02,患者教育,06,会议茶歇,01,无会议的茶歇,根据SOP规定，会议茶歇不得独立于会议之外提供,请解释说明,根据SOP规定，会议茶歇不得独立于会议之外提供。请解释说明。
MN020602,02,患者教育,06,会议茶歇,02,超市、商场或水果市场购买费用,根据SOP规定，超市、商场或水果市场购买的费用，需要提供明细,请提供,根据SOP规定，超市、商场或水果市场购买的费用，需要提供明细。请提供。
MN020603,02,患者教育,06,会议茶歇,03,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单。请提供。
MN020604,02,患者教育,06,会议茶歇,04,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改。已为您系统驳回，请重新提交完成业务审批流程后@通知审核员。"
MN030001,03,院内会,00,会议整体,01,会议权限_院内会,根据SOP规定，院内会可举办的组织者岗位为医药代表、地区业务销售经理，您无权限举办此类型会议,请提供逐级审批至部门负责人的授权邮件并抄送合规,根据SOP规定，院内会可举办的组织者岗位为医药代表、地区业务销售经理，您无权限举办此类型会议。请提供逐级审批至部门负责人的授权邮件并抄送合规。
MN030011,03,院内会,00,会议整体,11,会议议程_变更,学会活动变更会议时间、会议地点需提供企业微信变更流程或变更审批邮件,请提供,学会活动变更会议时间、会议地点需提供企业微信变更流程或变更审批邮件。请提供。
MN030012,03,院内会,00,会议整体,12,会议议程_不一致,会议议程内容与系统填报的实际会议情况不一致,请确认并提供更新的会议议程,会议议程内容与系统填报的实际会议情况不一致。请确认并提供更新的会议议程。
MN030013,03,院内会,00,会议整体,13,会议议程_不完整,会议议程需包含会议日期、会议开展时间、会议地点、会议内容、演讲主题和演讲人,请补充提供,会议议程需包含会议日期、会议开展时间、会议地点、会议内容、演讲主题和演讲人。请补充提供。
MN030014,03,院内会,00,会议整体,14,会议议程_时长不足,根据SOP规定，院内会会议时长需≥20分钟,请确认,根据SOP规定，院内会会议时长需≥20分钟。请确认。
MN030021,03,院内会,00,会议整体,21,会议地点_限院内,根据SOP规定，院内会地点仅限院内，不复核要求不予报销,已为您扣除,根据SOP规定，院内会地点仅限院内，不复核要求不予报销。已为您扣除。
MN030031,03,院内会,00,会议整体,31,会议签到_系统人数不一致,系统实际内外部参会人数与签到表不一致,请确认实际内外部参会人数，并解释说明,系统实际内外部参会人数与签到表不一致。请确认实际内外部参会人数，并解释说明。
MN030032,03,院内会,00,会议整体,32,会议签到_整场未电子签到,根据SOP规定，整场会议未使用电子签到单需提供逐级审批至部门负责人的审批邮件,请提供,根据SOP规定，整场会议未使用电子签到单需提供逐级审批至部门负责人的审批邮件。请提供。
MN030033,03,院内会,00,会议整体,33,会议签到_缺线下签到原件,根据SOP规定，线下签到单原件需邮寄至我司,请将原件邮寄至我司，邮寄后提供快递单号,根据SOP规定，线下签到单原件需邮寄至我司。请将原件邮寄至我司，邮寄后提供快递单号。
MN030034,03,院内会,00,会议整体,34,会议签到_线下签到缺审批,根据SOP规定，线下签到表下方的“负责与会医疗专业人士的内部员工签字（确认以上签字及备注属实）”和“直线经理签字（确认以上签字及代表说明复核公司要求）”需相应负责人签字,将为您寄回线下签到表，请补充签字后原件寄回我司,根据SOP规定，线下签到表下方的“负责与会医疗专业人士的内部员工签字（确认以上签字及备注属实）”和“直线经理签字（确认以上签字及代表说明复核公司要求）”需相应负责人签字。将为您寄回线下签到表，请补充签字后原件寄回我司。
MN030041,03,院内会,00,会议整体,41,会议照片_缺水印,根据SOP规定，会议照片需使用水印相机拍摄活动现场照片，并注明活动时间、活动地点、活动主题,请补充提供，如不符合要求将不予报销,根据SOP规定，会议照片需使用水印相机拍摄活动现场照片，并注明活动时间、活动地点、活动主题。请补充提供，如不符合要求将不予报销。
MN030042,03,院内会,00,会议整体,42,会议照片_缺会议主题,根据SOP规定，会议照片需体现并反映会议主题（如PPT标题、横幅、易拉宝等），且照片中的会议主题需清洗,请补充提供，如不符合要求将不予报销,根据SOP规定，会议照片需体现并反映会议主题（如PPT标题、横幅、易拉宝等），且照片中的会议主题需清洗。请补充提供，如不符合要求将不予报销。
MN030043,03,院内会,00,会议整体,43,会议照片_缺付费讲者,根据SOP规定，付费讲者需提供正面清晰演讲照片，照片应体现付费讲者和一张会议幻灯稿同框的场景，要求可识别付费讲者并能体现所参加会议,请补充提供，如不符合要求将不予报销,根据SOP规定，付费讲者需提供正面清晰演讲照片，照片应体现付费讲者和一张会议幻灯稿同框的场景，要求可识别付费讲者并能体现所参加会议。请补充提供，如不符合要求将不予报销。
MN030044,03,院内会,00,会议整体,44,会议照片_水印与议程不一致,根据SOP规定，会议照片水印所反映拍摄时间与会议议程相一致,请补充提供，如不符合要求将不予报销,根据SOP规定，会议照片水印所反映拍摄时间与会议议程相一致。请补充提供，如不符合要求将不予报销。
MN030045,03,院内会,00,会议整体,45,会议照片_人数标准不符,根据SOP规定，院内会会议照片需显示100%外部参会人员,请补充提供，如不符合要求将不予报销,根据SOP规定，院内会会议照片需显示100%外部参会人员。请补充提供，如不符合要求将不予报销。
MN030051,03,院内会,00,会议整体,51,会议人数_内部人数不符,根据SOP规定，院内会内部参会者需≥1人（含会议组织者）,请确认实际内部参会人数,根据SOP规定，院内会内部参会者需≥1人（含会议组织者）。请确认实际内部参会人数。
MN030061,03,院内会,00,会议整体,61,报销范围_时效,根据SOP规定，原则上公司仅承担学术活动会议议程前后24小时内所产生的相关费用，例外事项需提供部门负责人及合规审计总监的共同批准,如需报销请提供特批,根据SOP规定，原则上公司仅承担学术活动会议议程前后24小时内所产生的相关费用，例外事项需提供部门负责人及合规审计总监的共同批准。如需报销请提供特批。
MN030062,03,院内会,00,会议整体,62,报销范围_费用,根据SOP规定，院内会仅允许报销会议餐饮费,额外费用不予报销已为您扣除,根据SOP规定，院内会仅允许报销会议餐饮费。额外费用不予报销已为您扣除。
MN030201,03,院内会,02,会议餐费,01,缺餐厅门头照,根据SOP规定，会议餐费需提供餐厅门头照,请提供,根据SOP规定，会议餐费需提供餐厅门头照。请提供。
MN030202,03,院内会,02,会议餐费,02,餐费与会议时间不相连,根据SOP规定，会议餐费用餐时间应与会议时间相连，且与正常午餐或晚餐时间相近,请解释说明,根据SOP规定，会议餐费用餐时间应与会议时间相连，且与正常午餐或晚餐时间相近。请解释说明。
MN030203,03,院内会,02,会议餐费,03,会议餐费超人均,根据SOP规定，院内会会议餐费，不应超过人均 100元。如有超过上述标准的特殊情况，需获得部门负责人和合规部负责人的审批,请提供,根据SOP规定，院内会会议餐费，不应超过人均 100元。如有超过上述标准的特殊情况，需获得部门负责人和合规部负责人的审批。请提供。
MN030204,03,院内会,02,会议餐费,04,缺少水单,根据SOP规定，会议餐费≥300元，需提供水单明细,请将水单原件邮寄至我司，并将水单照片或扫描件补充上传至评论区,根据SOP规定，会议餐费≥300元，需提供水单明细。请将水单原件邮寄至我司，并将水单照片或扫描件补充上传至评论区。
MN030205,03,院内会,02,会议餐费,05,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单。请提供。
MN030206,03,院内会,02,会议餐费,06,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改。已为您系统驳回，请重新提交完成业务审批流程后@通知审核员。"
MN030601,03,院内会,06,会议茶歇,01,会议茶歇超人均,根据SOP规定，院内会议茶歇与会议餐费合计金额，不应超过人均 100元。如有超过上述标准的特殊情况，需获得部门负责人和合规部负责人的审批,请提供,根据SOP规定，院内会议茶歇与会议餐费合计金额，不应超过人均 100元。如有超过上述标准的特殊情况，需获得部门负责人和合规部负责人的审批。请提供。
MN030602,03,院内会,06,会议茶歇,02,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单。请提供。
MN030603,03,院内会,06,会议茶歇,03,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改。已为您系统驳回，请重新提交完成业务审批流程后@通知审核员。"